ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,FASCIAETA,ALUNNI
201516,GE1M014005,SCUOLA SECONDARIA I GRADO,2,12 anni,39
201516,PE1M003009,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,CN1M00400Q,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,CO1M001001,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,1
201516,PR1M003001,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,4
201516,TO1M02800R,SCUOLA SECONDARIA I GRADO,2,12 anni,16
201516,CZ1M002007,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,5
201516,FI1M02600E,SCUOLA SECONDARIA I GRADO,2,12 anni,14
201516,TO1M02300N,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,4
201516,RM1M10400N,SCUOLA SECONDARIA I GRADO,3,12 anni,6
201516,CE1M002008,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,1
201516,CO1M02500D,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,RN1M02000L,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,BG1M023003,SCUOLA SECONDARIA I GRADO,3,13 anni,18
201516,PD1M00300P,SCUOLA SECONDARIA I GRADO,2,12 anni,22
201516,TO1M056001,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,11
201516,MI1M012007,SCUOLA SECONDARIA I GRADO,2,12 anni,62
201516,RE1M002007,SCUOLA SECONDARIA I GRADO,3,13 anni,25
201516,CR1M00500B,SCUOLA SECONDARIA I GRADO,2,11 anni,5
201516,VE1M007004,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,VT1M00600E,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,1
201516,BG1M00300T,SCUOLA SECONDARIA I GRADO,1,11 anni,21
201516,SV1M00400G,SCUOLA SECONDARIA I GRADO,2,11 anni,6
201516,PD1M00900N,SCUOLA SECONDARIA I GRADO,1,12 anni,2
201516,RM1M128006,SCUOLA SECONDARIA I GRADO,2,11 anni,24
201516,FI1M029002,SCUOLA SECONDARIA I GRADO,1,11 anni,51
201516,NA1M040001,SCUOLA SECONDARIA I GRADO,2,11 anni,4
201516,SA1M00900B,SCUOLA SECONDARIA I GRADO,3,13 anni,12
201516,RM1M086009,SCUOLA SECONDARIA I GRADO,2,12 anni,14
201516,BS1M017008,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,GE1M02500G,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
201516,CT1M02400B,SCUOLA SECONDARIA I GRADO,2,11 anni,3
201516,MI1M04400P,SCUOLA SECONDARIA I GRADO,2,12 anni,12
201516,PA1M01700R,SCUOLA SECONDARIA I GRADO,1,11 anni,9
201516,MI1M06400X,SCUOLA SECONDARIA I GRADO,3,13 anni,18
201516,RM1M01100X,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,5
201516,CO1M001001,SCUOLA SECONDARIA I GRADO,2,11 anni,2
201516,RM1M03400L,SCUOLA SECONDARIA I GRADO,2,12 anni,46
201516,MI1M056001,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,3
201516,CZ1M002007,SCUOLA SECONDARIA I GRADO,2,11 anni,9
201516,NA1M007009,SCUOLA SECONDARIA I GRADO,3,12 anni,3
201516,BG1M008001,SCUOLA SECONDARIA I GRADO,1,11 anni,20
201516,VA1M018004,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,RM1M106009,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,1
201516,TO1M02300N,SCUOLA SECONDARIA I GRADO,1,11 anni,63
201516,PR1M00900X,SCUOLA SECONDARIA I GRADO,1,11 anni,39
201516,UD1M00600L,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,7
201516,CS1MUP500H,SCUOLA SECONDARIA I GRADO,3,12 anni,9
201516,VE1M006008,SCUOLA SECONDARIA I GRADO,2,12 anni,18
201516,MI1M09300X,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
201516,RI1M00200E,SCUOLA SECONDARIA I GRADO,2,12 anni,6
201516,MI1M10600R,SCUOLA SECONDARIA I GRADO,2,11 anni,1
